rank,coarse_absolute_residual_mw,granular_absolute_residual_mw,exceedance_share
487,4.209855933829042,3.836267226391108,0.013860428051001822
488,4.204723933829041,3.8360645489335186,0.013888888888888888
489,4.20315993382904,3.834677382983127,0.013917349726775956
490,4.2018039338290425,3.8343151638262336,0.013945810564663024
491,4.200615933829042,3.8331405489335184,0.01397427140255009
492,4.199855933829042,3.832963226391104,0.014002732240437158
493,4.194523933829043,3.832779226391106,0.014031193078324226
494,4.1943879338290415,3.8306525945724528,0.014059653916211293
495,4.194115933829043,3.829333382983126,0.01408811475409836
496,4.192075933829042,3.8293312263911066,0.014116575591985429
497,4.189279933829042,3.8291525945724527,0.014145036429872495
498,4.188179933829041,3.8270845945724536,0.014173497267759563
499,4.187587933829041,3.826277382983125,0.014201958105646631
500,4.187007933829042,3.824683226391107,0.014230418943533697
501,4.185291933829042,3.8236245489335183,0.014258879781420765
